appointment_id,date,ward,room_id,doctor_id,duration_minutes,source
SIM-0360,2026-08-23,Pediatrics,R02-2,D02-2,30.34,simulated
SIM-0361,2026-08-23,Orthopedics,R03-1,D03-1,37.77,simulated
SIM-0362,2026-08-23,Orthopedics,R03-1,D03-2,41.28,simulated
SIM-0363,2026-08-23,Orthopedics,R03-2,D03-1,22.12,simulated
SIM-0364,2026-08-23,Orthopedics,R03-2,D03-2,30.52,simulated
SIM-0365,2026-08-23,Ophthalmology,R04-1,D04-1,14.03,simulated
SIM-0366,2026-08-23,Ophthalmology,R04-1,D04-2,26.73,simulated
SIM-0367,2026-08-23,Ophthalmology,R04-2,D04-1,28.91,simulated
SIM-0368,2026-08-23,Ophthalmology,R04-2,D04-2,37.14,simulated
SIM-0369,2026-08-24,General medicine,R01-1,D01-1,38.56,simulated
SIM-0370,2026-08-24,General medicine,R01-1,D01-2,28.05,simulated
SIM-0371,2026-08-24,General medicine,R01-2,D01-1,21.9,simulated
SIM-0372,2026-08-24,General medicine,R01-2,D01-2,17.24,simulated
SIM-0373,2026-08-24,Pediatrics,R02-1,D02-1,26.85,simulated
SIM-0374,2026-08-24,Pediatrics,R02-1,D02-2,16.02,simulated
SIM-0375,2026-08-24,Pediatrics,R02-2,D02-1,34.5,simulated
SIM-0376,2026-08-24,Pediatrics,R02-2,D02-2,29.57,simulated
SIM-0377,2026-08-24,Orthopedics,R03-1,D03-1,37.08,simulated
SIM-0378,2026-08-24,Orthopedics,R03-1,D03-2,41.46,simulated
SIM-0379,2026-08-24,Orthopedics,R03-2,D03-1,22.48,simulated
SIM-0380,2026-08-24,Orthopedics,R03-2,D03-2,35.57,simulated
SIM-0381,2026-08-24,Ophthalmology,R04-1,D04-1,15.68,simulated
SIM-0382,2026-08-24,Ophthalmology,R04-1,D04-2,23.34,simulated
SIM-0383,2026-08-24,Ophthalmology,R04-2,D04-1,28.25,simulated
SIM-0384,2026-08-24,Ophthalmology,R04-2,D04-2,35.91,simulated
SIM-0385,2026-08-25,General medicine,R01-1,D01-1,32.63,simulated
SIM-0386,2026-08-25,General medicine,R01-1,D01-2,28.96,simulated
SIM-0387,2026-08-25,General medicine,R01-2,D01-1,26.46,simulated
SIM-0388,2026-08-25,General medicine,R01-2,D01-2,19.5,simulated
SIM-0389,2026-08-25,Pediatrics,R02-1,D02-1,29.8,simulated
SIM-0390,2026-08-25,Pediatrics,R02-1,D02-2,17.9,simulated
SIM-0391,2026-08-25,Pediatrics,R02-2,D02-1,37.27,simulated
SIM-0392,2026-08-25,Pediatrics,R02-2,D02-2,27.41,simulated
SIM-0393,2026-08-25,Orthopedics,R03-1,D03-1,37.21,simulated
SIM-0394,2026-08-25,Orthopedics,R03-1,D03-2,45.39,simulated
SIM-0395,2026-08-25,Orthopedics,R03-2,D03-1,25.64,simulated
SIM-0396,2026-08-25,Orthopedics,R03-2,D03-2,32.0,simulated
SIM-0397,2026-08-25,Ophthalmology,R04-1,D04-1,13.62,simulated
SIM-0398,2026-08-25,Ophthalmology,R04-1,D04-2,26.12,simulated
SIM-0399,2026-08-25,Ophthalmology,R04-2,D04-1,27.74,simulated
SIM-0400,2026-08-25,Ophthalmology,R04-2,D04-2,32.15,simulated
